,Please select your age.,What is the highest level of education you have attained?,In which discipline is your highest academic qualification?,In which institute do you work?,Do you write code as part of your job?,Who uses the code that you write?,How many years of software development experience do you have?,What programming language do you use at work? Please select all that apply.,Please rate every answer on a scale from 1 to 10. The sum of all 4 answers must be 10.,"In an average month, how much time do you spend on software development?","In an average month, how much time do you spend on research?","In an average month, how much time do you spend on management?","In an average month, how much time do you spend on other activities?","In an average month, how much time would you like to spend on software development?","In an average month, how much time would you like to spend on research?","In an average month, how much time would you like to spend on management?","In an average month, how much time would you like to spend on other activities?",Which version control tools do you use for software development? Please select all that apply.,Are you documenting your software?,"What kind of documentation do you write? Please rate every answer with “never”, “sometimes”, or “regularly”.",Developer guide,Code comments,Guide for new contributors,User manual,Release notes,Installation notes,README,Are you testing your software?,"How do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Automated,semi-automated,manually,"When do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Before I publish results based on it,Before I give it to someone else,During development,Did you ever reference or acknowledge software in a publication?,How do you reference software in a publication? Please select all that apply.,Do you care for making your software citable?
261,45 - 54,Master degree,Physics,Institute Space 6,Yes,3,30.0,C;#Python;#PHP;#JavaScript;#SQL;#Perl,,4.0,2.0,3.0,1.0,5.0,4.0,0.0,1.0,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,Yes
262,35 - 44,Doctorate,Other,Institute Space 6,Yes,2,12.0,Python;#C++;#MATLAB,,1.0,2.0,6.0,1.0,2.0,3.0,4.0,1.0,Git,Yes,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
263,45 - 54,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name,
264,35 - 44,Master degree,Mechanical Engineering,Institute Space 5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name;#Link,
265,55 or older,Undergraduate degree,Electrical & Electronic Engineering,Institute Space 15,Yes,2,30.0,Java;#C;#Python;#C++;#SQL,,5.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,Subversion;#Git,Yes,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,,2.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name,No
266,45 - 54,Master degree,Other,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
267,25 - 34,Master degree,Computer Science,Institute Space 16,Yes,3,10.0,Java;#C;#Python;#C#;#Other,,2.0,3.0,1.0,5.0,3.0,4.0,1.0,2.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,2.0,3.0,3.0,Yes,,1.0,2.0,3.0,,1.0,1.0,3.0,Yes,Name;#Link;#DOI,No
268,25 - 34,Doctorate,General Engineering,Institute Space 13,Yes,3,6.0,Python;#C++;#MATLAB;#Assembly language;#Fortran;#Other,,3.0,1.0,5.0,1.0,2.0,6.0,1.0,1.0,Git,Yes,,1.0,3.0,2.0,2.0,3.0,3.0,3.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link;#DOI,Yes
269,35 - 44,Master degree,Electrical & Electronic Engineering,Institute Space 7,Yes,0 - Mostly me,10.0,C;#Python;#C++;#PHP;#MATLAB,,1.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,Subversion,Yes,,1.0,3.0,2.0,2.0,3.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,,No
270,25 - 34,Master degree,Physics,Institute Space 8,Yes,2,5.0,Python;#Other,,4.0,4.0,0.0,2.0,4.0,3.0,1.0,2.0,Subversion;#Git,Yes,,3.0,3.0,3.0,3.0,2.0,3.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,Yes
271,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Energy 2,Yes,2,6.0,Python;#MATLAB,,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,None,Yes,,1.0,3.0,2.0,1.0,1.0,1.0,3.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link;#DOI;#Other,No
272,25 - 34,Master degree,Mechanical Engineering,Institute Energy 4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
273,,,Aeronautical & Manufacturing Engineering,Other,Yes,2,2.0,Python;#MATLAB,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,None,No,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,No,,1.0,1.0,2.0,,2.0,2.0,2.0,Yes,Name,Yes
274,18 - 24,Undergraduate degree,Other,Institute Energy 4,Yes,1,2.0,MATLAB,,5.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
275,35 - 44,Doctorate,Electrical & Electronic Engineering,Institute Space 9,Yes,3,20.0,C;#Python;#C++;#Other,,4.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,Subversion,No,,1.0,3.0,2.0,2.0,2.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI;#Other,No
276,25 - 34,Master degree,Geography & Environmental Sciences,Institute Space 15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
277,25 - 34,Undergraduate degree,Other,Institute Energy 4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
278,25 - 34,Doctorate,Physics,Institute Space 6,Yes,3,12.0,C++,,2.0,3.0,3.0,2.0,6.0,2.0,1.0,1.0,Subversion,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,Name,No
279,25 - 34,Master degree,Computer Science,Institute Space 1,Yes,2,5.0,Python;#JavaScript,,4.0,3.0,2.0,1.0,4.0,6.0,0.0,0.0,Git,Yes,,2.0,3.0,1.0,1.0,1.0,3.0,3.0,Yes,,1.0,2.0,3.0,,2.0,3.0,3.0,Yes,Name;#Link,No
280,35 - 44,Doctorate,Psychology,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
281,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 13,Yes,1,5.0,C;#C++;#MATLAB;#Other,,4.0,3.0,1.0,2.0,5.0,4.0,0.0,1.0,Git,Yes,,2.0,3.0,2.0,2.0,1.0,1.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,Name;#Link,No
282,35 - 44,Master degree,Mathematics,Institute Aeronautics 12,Yes,2,3.0,R;#Other,,3.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,Subversion,Yes,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#DOI,No
283,25 - 34,Undergraduate degree,Sociology,Institute Space 17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name;#Link;#DOI,
284,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 3,Yes,2,4.0,C;#Python;#C++;#MATLAB;#Fortran,,2.0,3.0,3.0,2.0,2.0,6.0,1.0,1.0,Subversion,Yes,,2.0,3.0,1.0,2.0,2.0,1.0,2.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name,Yes
285,35 - 44,Undergraduate degree,Electrical & Electronic Engineering,Institute Space 9,Yes,2,3.0,Java;#Python;#R;#Other,,2.0,0.0,0.0,8.0,5.0,0.0,0.0,5.0,None,Yes,,,3.0,,,,,,Yes,,,,3.0,,,3.0,3.0,No,Other,No
286,25 - 34,Master degree,General Engineering,Institute Energy 2,Yes,2,3.0,MATLAB;#Fortran,,4.0,5.0,0.0,1.0,4.0,6.0,0.0,0.0,Subversion,Yes,,2.0,3.0,3.0,2.0,2.0,3.0,1.0,Yes,,1.0,2.0,3.0,,1.0,2.0,3.0,No,,No
287,35 - 44,Master degree,Economics,Other,Yes,0 - Mostly me,5.0,Java,,1.0,3.0,6.0,,,,,,Subversion,Yes,,1.0,3.0,1.0,3.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,2.0,Yes,Name,Yes
288,55 or older,Master degree,Computer Science,Institute Space 12,Yes,4,30.0,Java;#C#,,4.0,2.0,2.0,2.0,8.0,2.0,,,Git;#CVS,Yes,,,3.0,,,2.0,,2.0,Yes,,,,3.0,,3.0,3.0,3.0,Yes,Name,No
289,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
290,35 - 44,Undergraduate degree,Computer Science,Institute Energy 3,Yes,3,15.0,Java;#Python;#C#;#MATLAB;#Other,,7.0,2.0,1.0,0.0,6.0,3.0,1.0,,Git,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,No,,No
291,45 - 54,Doctorate,Mechanical Engineering,Institute Energy 3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Other,
292,35 - 44,Doctorate,Mechanical Engineering,,Yes,2,19.0,Fortran;#Other,,2.0,6.0,1.0,1.0,2.0,8.0,,,None,Yes,,,3.0,,2.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
293,35 - 44,Master degree,General Engineering,Institute Space 15,Yes,1,15.0,Java;#C;#Python;#C++;#PHP;#JavaScript;#SQL;#Perl,,1.0,1.0,3.0,5.0,3.0,3.0,2.0,2.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name,No
294,35 - 44,Doctorate,Physics,Institute Space 5,Yes,1,14.0,Python;#C++;#MATLAB,,4.0,3.0,2.0,1.0,4.0,5.0,0.0,1.0,"Git;#Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link;#DOI,Yes
295,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 1,Yes,0 - Mostly me,18.0,Python;#MATLAB,,3.0,2.0,2.0,3.0,1.0,5.0,1.0,3.0,None,Yes,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,2.0,3.0,3.0,No,,No
296,35 - 44,Other,Other,,Yes,0 - Mostly me,10.0,Fortran;#Other,,1.0,,,9.0,1.0,,,9.0,Other;#None,No,,,,,,,,2.0,Yes,,,,3.0,,,,3.0,No,Other,No
297,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Energy 2,Yes,2,3.0,C;#Python;#C++,,3.0,4.0,1.0,2.0,5.0,4.0,0.0,1.0,Subversion,No,,1.0,3.0,2.0,1.0,1.0,3.0,2.0,Yes,,1.0,2.0,2.0,,2.0,3.0,2.0,Yes,Name;#DOI,No
298,25 - 34,Master degree,Computer Science,Other,Yes,1,11.0,Java;#Python;#C++;#SQL;#Rust,,3.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,Git,Yes,,1.0,2.0,1.0,2.0,1.0,3.0,3.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#DOI,Yes
299,45 - 54,Master degree,Geography & Environmental Sciences,Institute Transport 3,Yes,0 - Mostly me,16.0,R;#Other,,1.0,5.0,1.0,3.0,1.0,6.0,0.0,3.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name,No
300,25 - 34,Master degree,Other,Other,Yes,2,4.0,Python;#MATLAB;#R,,6.0,7.0,5.0,2.0,6.0,7.0,5.0,4.0,None,Yes,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,Yes,,,3.0,2.0,,3.0,3.0,3.0,No,Name,Yes
301,35 - 44,Master degree,Computer Science,Institute Aeronautics 8,Yes,5 - Mostly other people,16.0,C;#C++;#C#;#SQL;#MATLAB,,6.0,1.0,2.0,1.0,2.0,4.0,4.0,0.0,Subversion;#Git,Yes,,3.0,3.0,2.0,3.0,3.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
302,35 - 44,Doctorate,Physics,Institute Space 18,Yes,1,9.0,Python;#C++,,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,2.0,Yes,Name;#Link,No
303,25 - 34,general qualification for university entrance,Electrical & Electronic Engineering,Institute Space 16,Yes,3,6.0,Java;#SQL,,6.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,Subversion,Yes,,1.0,2.0,2.0,3.0,2.0,2.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
304,35 - 44,Doctorate,Electrical & Electronic Engineering,Institute Aeronautics 8,Yes,1,9.0,MATLAB;#Other,,0.0,3.0,2.0,5.0,1.0,5.0,2.0,2.0,None,Yes,,1.0,3.0,2.0,2.0,2.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,No,,No
305,25 - 34,Master degree,Physics,Other,Yes,0 - Mostly me,3.0,Java;#Python;#C#;#SQL,,4.0,5.0,0.0,1.0,3.0,7.0,0.0,0.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,,2.0,Yes,Name;#Link;#DOI,No
306,25 - 34,Doctorate,Physics,Institute Energy 2,Yes,1,5.0,C++,,4.0,1.0,2.0,3.0,1.0,7.0,,2.0,Other,No,,,,,,,,,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,,No
307,35 - 44,Doctorate,Mathematics,Institute Space 5,Yes,3,20.0,C;#Python;#PHP,,3.0,2.0,2.0,3.0,4.0,6.0,0.0,0.0,"Git;#Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,2.0,3.0,1.0,3.0,2.0,3.0,3.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI;#Other,Yes
308,45 - 54,Doctorate,Aeronautical & Manufacturing Engineering,Institute Space 10,Yes,2,22.0,C++;#MATLAB;#Visual Basic,,1.0,4.0,3.0,1.0,2.0,8.0,,,None,Yes,,,3.0,,2.0,,,,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
309,18 - 24,Undergraduate degree,Computer Science,Institute Aeronautics 8,Yes,3,3.0,C++,,6.0,3.0,0.0,1.0,6.0,3.0,0.0,1.0,Subversion,Yes,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,Yes,,1.0,2.0,3.0,,2.0,2.0,3.0,No,,No
310,25 - 34,Master degree,,,Yes,2,3.0,Python;#C++,,7.0,1.0,1.0,1.0,6.0,4.0,0.0,0.0,Subversion,Yes,,2.0,3.0,1.0,2.0,3.0,2.0,3.0,Yes,,1.0,2.0,3.0,,2.0,2.0,3.0,Yes,Name;#Link,Yes
311,55 or older,Master degree,Other,Institute Aeronautics 6,Yes,0 - Mostly me,2.0,Python,,1.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,None,No,,,2.0,,,,,2.0,Yes,,,,3.0,,,,3.0,Yes,Name,No
312,35 - 44,Master degree,Economics,Institute Aeronautics 5,Yes,5 - Mostly other people,15.0,Java;#JavaScript,,1.0,,9.0,,8.0,,2.0,,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,Yes,,2.0,2.0,3.0,,1.0,2.0,3.0,No,,No
313,25 - 34,Master degree,Civil Engineering,Institute Space 6,Yes,1,3.0,Python;#MATLAB;#Other,,2.0,6.0,0.0,2.0,2.0,4.0,2.0,2.0,None,No,,1.0,3.0,1.0,3.0,1.0,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#DOI,No
314,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Energy 2,Yes,4,8.0,Python;#Fortran;#Other,,2.0,3.0,5.0,,4.0,4.0,2.0,,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,2.0,3.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,2.0,Yes,Name;#Link,Yes
315,25 - 34,Master degree,Computer Science,Institute Transport 1,Yes,2,4.0,Python,,3.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0,None,Yes,,1.0,3.0,2.0,2.0,2.0,1.0,2.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,No,Name;#Link;#Other,Yes
316,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,3,15.0,C;#Python;#C++;#MATLAB,,1.0,2.0,6.0,3.0,3.0,6.0,1.0,2.0,Subversion,Yes,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,Yes,,2.0,3.0,3.0,,3.0,2.0,3.0,Yes,Name,No
317,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,2,20.0,C;#Python;#C#;#MATLAB;#Visual Basic,,2.0,3.0,4.0,1.0,3.0,5.0,1.0,1.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,2.0,3.0,3.0,No,,No
318,45 - 54,Undergraduate degree,,,Yes,3,20.0,Java;#C;#C++,,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Other,No
319,35 - 44,Undergraduate degree,Other,Institute Space 6,Yes,0 - Mostly me,3.0,Python,,2.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,No,,1.0,1.0,2.0,,1.0,1.0,1.0,No,Name;#Other,No
320,18 - 24,,Mechanical Engineering,Institute Space 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
321,25 - 34,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,3,8.0,C;#Python,,6.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
322,25 - 34,Master degree,Physics,Institute Aeronautics 1,Yes,3,8.0,C;#Python,,4.0,4.0,0.0,2.0,3.0,7.0,0.0,0.0,Subversion;#Git,Yes,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,Yes,,2.0,3.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link,No
323,45 - 54,Doctorate,Astronomy,Institute Space 9,Yes,0 - Mostly me,14.0,Other,,2.0,6.0,,2.0,2.0,6.0,,2.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link;#DOI,No
324,35 - 44,Master degree,Mechanical Engineering,Institute Aeronautics 14,Yes,2,10.0,Other,,4.0,3.0,2.0,1.0,7.0,3.0,0.0,0.0,Subversion,Yes,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Other,No
325,55 or older,Doctorate,Chemistry,Institute Space 1,Yes,1,1.0,Visual Basic,,1.0,0.0,9.0,0.0,1.0,0.0,9.0,0.0,None,No,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
326,25 - 34,Master degree,Computer Science,Institute Transport 1,Yes,1,10.0,Python;#C++;#SQL;#MATLAB;#R,,4.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,1.0,2.0,,2.0,2.0,2.0,No,,No
327,45 - 54,Undergraduate degree,Mechanical Engineering,Institute Aeronautics 3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
328,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
329,35 - 44,Master degree,Computer Science,,Yes,2,10.0,Java;#Python;#SQL;#Visual Basic,,1.0,3.0,5.0,1.0,2.0,4.0,3.0,1.0,Subversion;#Git,Yes,,1.0,3.0,2.0,2.0,3.0,2.0,2.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,No,,No
330,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 4,Yes,1,7.0,C;#C++,,6.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,3.0,2.0,3.0,3.0,Yes,,,2.0,,,,,3.0,No,Other,Yes
331,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 13,Yes,1,5.0,C;#C++;#MATLAB,,4.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,Subversion,Yes,,1.0,3.0,2.0,2.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,1.0,2.0,2.0,Yes,Name;#Link,No
332,35 - 44,Master degree,Chemistry,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
333,35 - 44,Master degree,Electrical & Electronic Engineering,Institute Space 4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
334,55 or older,,Electrical & Electronic Engineering,Institute Aeronautics 6,Yes,3,38.0,Java;#C;#C++;#C#;#PHP;#JavaScript;#SQL;#Assembly language;#Fortran;#Lisp;#Prolog,,6.0,2.0,1.0,1.0,7.0,3.0,0.0,0.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,3.0,,2.0,,3.0,3.0,3.0,Yes,Name;#Other,No
335,35 - 44,Master degree,Computer Science,Institute Space 2,Yes,2,10.0,Python;#C#;#SQL;#Other,,5.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,Subversion,Yes,,2.0,3.0,1.0,2.0,2.0,2.0,3.0,Yes,,1.0,1.0,3.0,,2.0,3.0,3.0,No,,No
336,35 - 44,Doctorate,Geography & Environmental Sciences,Institute Space 6,Yes,4,1.0,Python;#R,,5.0,2.0,1.0,2.0,3.0,6.0,0.0,1.0,Subversion,Yes,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI;#Other,No
337,35 - 44,Master degree,Mechanical Engineering,Institute Aeronautics 2,Yes,1,15.0,C;#Python;#MATLAB,,3.0,5.0,2.0,0.0,3.0,7.0,0.0,0.0,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,,No
338,45 - 54,Doctorate,Geography & Environmental Sciences,Institute Space 3,Yes,2,24.0,Python;#C++;#Other,,2.0,2.0,2.0,4.0,3.0,6.0,0.0,1.0,Subversion;#Git;#CVS,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
339,45 - 54,Doctorate,Medicine,Institute Space 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
340,25 - 34,Master degree,Chemical Engineering,Institute Energy 4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#DOI,
341,25 - 34,Master degree,Communication & Media Studies,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
342,55 or older,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,2,33.0,Visual Basic;#Fortran,,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,None,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
343,18 - 24,general qualification for university entrance,Other,Institute Space 18,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name;#Link,
344,55 or older,Doctorate,Psychology,Institute Space 2,Yes,4,35.0,Python;#Visual Basic .NET;#R;#Visual Basic;#Other,,1.0,6.0,1.0,2.0,2.0,6.0,2.0,0.0,None,Yes,,2.0,3.0,2.0,3.0,3.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
345,35 - 44,Doctorate,Physics,Institute Energy 4,Yes,2,10.0,C++;#MATLAB,,2.0,3.0,4.0,1.0,2.0,4.0,3.0,1.0,Subversion,Yes,,1.0,3.0,2.0,1.0,3.0,3.0,2.0,Yes,,3.0,1.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,Yes
346,35 - 44,Doctorate,Mechanical Engineering,Institute Energy 3,Yes,1,20.0,MATLAB;#Fortran,,1.0,5.0,3.0,1.0,0.0,8.0,1.0,1.0,Other,Yes,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
347,35 - 44,Doctorate,Mechanical Engineering,Institute Energy 3,Yes,3,5.0,Visual Basic .NET;#Other,,3.0,2.0,6.0,8.0,6.0,6.0,3.0,2.0,None,Yes,,1.0,3.0,2.0,3.0,3.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Other,No
348,35 - 44,Master degree,Mechanical Engineering,Institute Aeronautics 1,Yes,2,6.0,C;#Python;#MATLAB,,4.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,Subversion,Yes,,2.0,3.0,1.0,3.0,2.0,1.0,1.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,Yes,Name,No
349,25 - 34,Undergraduate degree,Other,Institute Space 10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
350,35 - 44,Doctorate,Physics,Institute Aeronautics 1,Yes,1,10.0,C;#C++;#MATLAB,,3.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,None,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,Yes,,1.0,3.0,2.0,,3.0,3.0,3.0,No,,No
351,45 - 54,Doctorate,Geography & Environmental Sciences,Institute Aeronautics 6,Yes,2,4.0,Java;#Python;#C++,,1.0,3.0,3.0,3.0,3.0,5.0,,2.0,Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,2.0,3.0,3.0,,3.0,2.0,3.0,Yes,Name;#Other,Yes
352,45 - 54,Master degree,Mechanical Engineering,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
353,35 - 44,Doctorate,Civil Engineering,Institute Transport 3,Yes,0 - Mostly me,8.0,R,,1.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,2.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name,No
354,25 - 34,Master degree,General Engineering,Institute Transport 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
